Wake,Breakfast,Lunch,Dinner,Sleep,Time,,,,,
2019/01/01 7:43:54,2019/01/01 8:20:25,2019/01/01 12:52:50,2019/01/01 17:30:43,2019/01/01 22:6:12,2019/01/01 21:2:28,,,,,
2019/01/02 7:39:5,2019/01/02 8:57:0,2019/01/02 12:22:23,2019/01/02 17:51:28,2019/01/02 22:2:29,2019/01/02 21:56:25,,,,,
2019/01/03 7:56:16,2019/01/03 8:17:33,2019/01/03 12:24:36,2019/01/03 17:41:54,2019/01/03 22:50:23,2019/01/03 21:50:58,,,,,
2019/01/04 7:50:28,2019/01/04 8:37:22,2019/01/04 12:14:16,2019/01/04 17:37:46,2019/01/04 22:10:38,2019/01/04 21:20:33,,,,,
2019/01/05 7:36:55,2019/01/05 8:32:12,2019/01/05 12:54:29,2019/01/05 17:55:1,2019/01/05 22:46:33,2019/01/05 21:12:1,,,,,
2019/01/06 7:47:31,2019/01/06 8:11:19,2019/01/06 12:26:30,2019/01/06 17:41:57,2019/01/06 22:16:49,2019/01/06 21:18:46,,,,,
2019/01/07 7:4:58,2019/01/07 8:40:35,2019/01/07 12:26:50,2019/01/07 17:18:55,2019/01/07 22:36:59,2019/01/07 21:24:3,,,,,
2019/01/08 7:50:9,2019/01/08 8:54:56,2019/01/08 12:57:14,2019/01/08 17:44:39,2019/01/08 22:17:7,2019/01/08 21:40:37,,,,,
2019/01/09 7:43:24,2019/01/09 8:5:47,2019/01/09 12:25:1,2019/01/09 17:55:22,2019/01/09 22:38:43,2019/01/09 21:26:46,,,,,
2019/10/01 7:34:23,2019/10/01 8:52:52,2019/10/01 12:18:18,2019/10/01 17:59:47,2019/10/01 22:14:49,2019/10/01 21:59:52,,,,,
2019/01/11 7:18:56,2019/01/11 8:7:20,2019/01/11 12:14:2,2019/01/11 17:46:6,2019/01/11 22:34:2,2019/01/11 21:2:37,,,,,
2019/01/12 7:41:3,2019/01/12 8:37:59,2019/01/12 12:5:6,2019/01/12 17:5:33,2019/01/12 22:49:23,2019/01/12 21:36:38,,,,,
2019/01/13 9:25:10,2019/01/13 8:22:5,2019/01/13 12:2:48,2019/01/13 17:30:46,2019/01/13 22:29:19,2019/01/13 21:46:7,,,,,
2019/01/14 7:40:8,2019/01/14 8:3:5,2019/01/14 12:18:17,2019/01/14 17:22:19,2019/01/14 22:46:39,2019/01/14 21:27:48,,,,,
2019/01/15 7:55:4,2019/01/15 8:18:56,2019/01/15 12:40:51,2019/01/15 17:50:24,2019/01/15 22:12:56,2019/01/15 21:54:17,,,,,
2019/01/16 7:36:13,2019/01/16 8:59:53,2019/01/16 12:25:57,2019/01/16 17:20:39,2019/01/16 22:0:39,2019/01/16 21:9:30,,,,,
2019/01/17 7:33:41,2019/01/17 8:45:57,2019/01/17 12:29:19,2019/01/17 17:41:24,2019/01/17 22:25:22,2019/01/17 21:4:14,,,,,
2019/01/18 7:44:37,2019/01/18 8:3:27,2019/01/18 12:5:57,2019/01/18 17:24:4,2019/01/18 22:50:34,2019/01/18 21:29:56,,,,,
2019/01/19 7:48:16,2019/01/19 8:35:0,2019/01/19 12:14:35,2019/01/19 17:47:47,2019/01/19 22:36:51,2019/01/19 21:0:13,,,,,
2019/01/20 7:51:25,2019/01/20 8:9:18,2019/01/20 12:32:17,2019/01/20 17:16:44,2019/01/20 22:32:22,2019/01/20 21:49:47,,,,,
2019/01/21 7:55:19,2019/01/21 8:58:18,2019/01/21 12:15:49,2019/01/21 17:25:53,2019/01/21 22:23:48,2019/01/21 21:54:44,,,,,
2019/01/22 7:58:15,2019/01/22 8:29:40,2019/01/22 12:10:30,2019/01/22 17:41:19,2019/01/22 22:41:10,2019/01/22 21:31:51,,,,,
2019/01/23 7:35:45,2019/01/23 8:6:50,2019/01/23 12:40:48,2019/01/23 17:10:0,2019/01/23 22:28:47,2019/01/23 21:33:56,,,,,
2019/01/24 7:57:8,2019/01/24 8:36:11,2019/01/24 12:47:38,2019/01/24 17:27:9,2019/01/24 22:57:50,2019/01/24 21:41:43,,,,,
2019/01/25 7:43:9,2019/01/25 8:17:33,2019/01/25 12:5:58,2019/01/25 17:2:57,2019/01/25 22:6:8,2019/01/25 21:41:27,,,,,
2019/01/26 7:52:10,2019/01/26 8:24:47,2019/01/26 12:50:31,2019/01/26 17:57:23,2019/01/26 22:36:8,2019/01/26 21:51:35,,,,,
